,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,player_positions_general
1310,GK,137637,4.174316800383652,0.10905868176848958,-0.17308117595919612,0.2179425176684538,-0.012622976003600687,0.030771128861532864,-0.275609342847988,0.16028756417855677,-0.14303470782408856,-0.07013738075802377,GK
1311,"ST, RM, CAM, CM",204226,-0.6616687393367436,0.8953928124049794,-0.22669917602523454,0.437738097492806,-0.5835340729121988,-0.03815087670575409,-0.15299383087939897,-0.03001502054491764,-0.08217209651500375,-0.06910149965311664,MID
1312,LB,227584,-0.16246458734698774,-0.5445324306941602,1.134490963393807,-0.3417264635215041,0.015259536182840037,-0.029487673769143356,0.23859201011867212,-0.1510674667344051,0.019491868064661876,0.140024792881962,DEF
1313,"CAM, RW, LW, CF",183471,-0.7111430931895305,0.28045520507676924,-0.5376535778693534,-0.5887085997600385,0.730991241970484,0.47861349653631974,0.44472115230952275,0.4580443417242734,0.011579679600847726,0.18185977530153052,ATK
1314,CM,193517,-0.31437012393179753,0.07800351447844601,-0.23309457141011858,-0.6773314817409953,-0.2725137344390249,-0.2411516976218356,0.08912380865032293,0.06992850587978172,0.17888087778725184,0.2467867775702665,MID
1315,"CDM, CB, RB, LB",148756,-0.27632765486097427,-0.5536423183846665,-0.24046160401272612,-0.4495392443455756,-0.3889707570664177,0.10587683235227968,-0.07795627131907426,0.0434398632645869,-0.03648758298204274,0.2649438760341572,DEF
1316,"RM, LM",215492,-0.3602894268802602,0.6108251027221975,-0.5979451370433235,1.0304114423518853,0.5626083730078365,-0.2939946392423646,0.020868596727484402,-0.4975338336976418,-0.1390756163453378,0.115815921761354,MID
1317,"LM, LB",177774,-0.22098511757391054,0.2987016922575337,1.2017171382951684,0.7896908388712228,-0.29119597312993195,0.10599747348818327,0.253355055138973,-0.35778494331847926,-0.10915915659998583,0.31843725313353616,DEF
1318,"CAM, CM",171908,0.13370877106839074,0.03913959727287668,1.0861043188487711,-0.5403972139520237,0.20327736814262062,0.06432026953249481,-0.13146407569555793,-0.32396605062975126,0.10237624465465417,0.4307472139793954,MID
1319,GK,209411,4.089235134412046,0.16966642331775358,-0.14345802399831714,0.1612080954451971,-0.027635321152596006,-0.08461889167076618,0.0636226939179471,-0.011671841356914583,0.018648877537982618,0.21004510329667367,GK
1320,"ST, CF, RW",161913,0.42993337810881777,0.23983294552114698,-0.2587521028938015,-0.5963462605047751,-0.19090786840844012,0.0745323267245905,0.008385032700554806,-0.47958128063205324,-0.04957918982004796,0.16281438294613426,ATK
1321,"ST, CAM",189181,0.014624797236400871,0.554206735923303,-0.2907273436983674,-0.7851047119282758,-0.12145633187874931,0.011330248498336876,-0.29194073736376525,-0.28783697478403636,-0.019264013456623395,0.028592433095594987,MID
1322,"CAM, CDM",208160,-0.3894354412801684,0.17529974393085315,1.0711970771622212,-0.6496287422252552,0.1922050691587816,-0.11804357064829797,-0.16166957521122163,-0.09210048005250943,0.08226364927314164,-0.025184882033880487,MID
1323,"CAM, RW, LW, CF",212127,-0.3121156491984411,0.7110256794344028,-0.2504303983616756,-0.8937247296025049,-0.14745171419168376,-0.26691983535553243,0.10751597323289504,-0.280188845555146,0.16593721564976002,0.05227025727298924,ATK
1324,RB,215437,0.5796341343426412,-0.647279779598547,-0.17589728827707302,-0.23227374739459197,-0.4282695431448324,0.0153494897964,0.622937098340408,-0.3467283537545975,-0.0392297138768165,0.09332338469911328,DEF
1325,RB,223877,0.16018066677143716,-0.5620969856113759,-0.20374112680392348,-0.32453405359771237,-0.42023077514493473,-0.007445100488415777,0.3582787205191856,-0.14142550429546422,-0.09920752042306598,-0.09013343795868818,DEF
1326,ST,50598,-0.19857140011369284,1.097976084449289,-0.6067812944873215,0.059499930873113796,0.7287194947112722,1.052984879431076,0.02197216097919932,-0.05812997336544021,0.901019026240577,-0.4632640764376385,ATK
1327,"CM, CDM",138782,-1.1931509350237395,-0.9334841980415031,-0.6763258705784108,-0.029528894750404492,0.7043707728274547,-0.3667161625493288,-0.26540745194873044,0.21325473836143297,-0.01707862216311213,0.14575112890239786,MID
1328,GK,204062,3.9700852546385477,0.27538504014594567,1.1853915073427832,0.18345132359303964,0.42909263183723395,-0.21340776834753836,-0.11664321257615694,0.18729278840154953,0.07932736394699778,-0.03244567113984592,GK
1329,"CDM, CM",224582,0.5566513766648068,-0.21737409986785733,-0.2021188482859718,-0.4044819483730655,-0.31672486189757953,-0.002134079973155048,0.3662116289816363,-0.3616742344756297,0.003695772354157273,0.20798288338852183,MID
1330,"CM, CAM, RM, LM",156894,-1.0599331006766972,0.09171242228172229,-0.6168693829010649,1.0979944685998324,0.4316650813079059,-0.2872235063382571,-0.14667353952423248,-0.12124826287950145,-0.19697979269097013,0.07955379535956164,MID
1331,GK,169697,4.081840508019075,0.29286202201862466,-0.1483524912051097,0.13408199157160514,0.0025544977388438027,-0.26307399244149643,-0.046999835229468136,0.31441787567260865,0.09255194507662133,0.04278884277967286,GK
1332,"CB, LWB",216256,-0.052352698770474715,-0.48312702961005033,1.1171647170614531,-0.33807271100878045,0.03783024952135555,-0.013248647897395199,0.18833776721349255,-0.17916926970279712,-0.035579128024590456,-0.06488576681375649,DEF
1333,"CM, CDM",169590,-1.076572175078508,-0.5060589572420812,-0.2600781352281192,-0.6055411355461349,-0.411521465381459,-0.09754897553086993,-0.22843766566086837,0.4389713152881431,0.06330255390271523,0.1954415078282531,MID
1334,CB,198135,-0.12523463008656513,-0.9005004614142741,-0.2569807170771371,-0.284436089930028,-0.4514518155473947,0.24808922680297502,-0.16968737262278755,0.11917631098250413,-0.1977806287632897,0.0048630619838197974,DEF
1335,"RB, LB",194120,0.018220143108409657,-0.10081665025545399,-0.09604812681772007,0.9268101901273154,-0.8280903333849261,-0.04589485118275759,0.7005422939841216,-0.10650244914532878,-0.060326512947773164,0.15866096194851276,DEF
1336,LB,214376,-0.5655788980366548,-0.3937464050786511,0.787455757592678,1.4642212456129273,0.7289676231434817,-0.2651961136936074,0.40387794544835093,-0.42821304504862995,-0.2715553630039357,-0.23967311192736862,DEF
1337,"LM, RM, ST",210463,-0.13548114299253755,1.3033281833259018,-0.1899892859835935,0.3981572870031583,-0.501133841067857,-0.191023958549381,0.21826806563372064,-0.343772846833699,0.01498854142936235,-0.07280577676014444,ATK
1338,RB,188155,-1.3396010850507738,0.0107386388267013,-0.19824853931506553,0.6451489587557678,-0.8207572637974967,-0.0041013476807556315,-0.09415930369024422,0.3857421383224593,-0.16236605201424567,-0.04602519931869169,DEF
1339,"ST, LW",149825,-0.5700254662438613,0.9654251835561664,1.0644848658490977,0.4796873608679033,-0.08901704028167386,0.27790073704241586,-0.7127467993424024,-0.14209896296356056,-0.2189476249411092,-0.08196709002284279,ATK
1340,"LW, RW",204840,0.14773607875744904,0.6602976780341456,1.1180505716773816,-0.7041540024213259,0.2795394873443281,-0.26230559857955993,0.2689798108966972,-0.48856118501514484,0.13897695040744804,-0.11043614295913762,ATK
1341,CB,215297,0.43446622916649624,-0.8155793165896352,-0.6373582596778865,1.066033855350275,0.5600708287899461,0.3287002109567979,-0.0647815565710129,-0.58463510034848,0.8211420638249934,-0.1487081832213905,DEF
1342,LB,229191,1.0770481483427046,-0.7301598468952759,1.1619182827250079,-0.03778863699891238,0.020077899352605334,0.2414880827129799,0.46171327940845097,-0.6371079973168822,-0.17637066197775333,0.13452112112540884,DEF
1343,"LB, CB",205565,0.158878695326157,-1.3779105872526802,0.6866214364638242,0.4554705789286904,1.1082255289989624,0.1344288138401521,-0.2930111600967954,-0.32589189823327697,-0.3626439963146358,-0.02206158342524015,DEF
1344,CB,160741,-0.4859141356878016,-0.7713380141425031,-0.2582380590168029,-0.37931094622407907,-0.4498394712647653,0.12690537565006027,-0.15836092784501887,0.20961724885606836,-0.16830878120324616,-0.1566169862465901,DEF
1345,"LB, CM, CB, CDM",197445,-2.0394450318344792,0.09794730542056651,1.149264257592909,0.5640162457617762,-0.4139631311466371,-0.24125320940291903,-0.11107328292921262,0.6153564872498866,-0.014485755108312374,-0.21377913849983482,MID
1346,RM,195124,-0.11556471995998162,0.9471975782212927,-0.1843792017003101,0.5325444459199798,-0.5802615299573677,-0.004411222895068163,0.1535168501272847,-0.3495551922658047,-0.149307061299162,-0.09602164643195915,MID
1347,"ST, CF",146121,-0.8185535376661954,0.6894807618673533,-0.6570511272461131,0.9290584310508981,0.5945750558943792,-0.25162299171260316,-0.4378137741146704,-0.24571007800439948,-0.20897276500552692,-0.09436238485435237,ATK
1348,"ST, CAM",50390,0.02163277695316064,0.509619734887345,-0.5577350005281597,-0.569685560703214,0.833940286340154,0.6844526214457689,0.3953839294385325,0.09203590452750014,-0.013291587425845608,0.29679667092023265,MID
1349,LB,166113,0.0682929490992134,-0.6013456551840398,1.1441869202048225,-0.2627070424341513,0.006081283651715333,-0.08504723729793456,0.3948989252861032,-0.19930763514047017,0.012096845774679212,0.026199759776447642,DEF
1350,RM,178623,-0.1398007848093688,1.1142482831492468,-0.17464872126914352,0.434901736561156,-0.5326207496833698,-0.08138235417082508,0.14899165335273987,-0.28237929214667257,0.043599878000245965,0.26229010542282494,MID
1351,"LB, LM, RM",181462,-0.8253024353466649,0.4265351985089605,0.8937551622546871,0.8652652519326742,0.6888819695214414,0.6352110638356262,0.6295015536679724,0.3679364428266027,-0.12137829724832644,0.2974765586793915,MID
1352,ST,139784,-0.15881422867392953,0.3163822169031882,-0.5569509387908164,-0.4971706053791624,0.7702599458871262,0.6128815973617351,0.4763387505411197,0.17160325006380525,-0.07303559314299293,0.11805636980291204,ATK
1353,GK,163890,4.132238581739243,0.2318439016187339,-0.14411663324055005,0.17658762449378168,-0.01748258517304186,-0.2413222556448676,0.07549339716468073,0.17401725601251272,0.03899797746074335,-0.028381915950535217,GK
1354,GK,190179,4.04304178353327,0.2085739120057892,-0.14077195298826675,0.12905151618656743,-0.029818505963626358,-0.07543888331622138,0.16696494834332057,-0.13615793300930135,0.03145661745520002,0.22375617290160046,GK
1355,CB,219848,-0.07202745771674647,-0.8370605495620934,-0.20397392637255932,-0.28709544132596904,-0.48048811293951305,-0.007934062790844514,0.35678557645157655,0.027095514650119355,-0.03389653120163383,-0.000479632741500274,DEF
1356,GK,177672,3.9583690546535264,0.21666627592557147,1.1996435021702685,0.194985432395967,0.4025717506841168,-0.20656800768720818,0.07988969245423247,0.022415338661812858,0.10018631989049342,0.07891393018978973,GK
1357,"CDM, CM",195020,-0.6653381730228629,-0.7390486708424935,-0.6584190279799103,0.031079128134751725,0.746599271172498,-0.3769684950920194,0.014037605092690425,-0.17815522487258903,-0.12135577481668966,-0.10153904976198729,MID
