,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
970,-1.2294408185081878,-2.6931902764950837,0.6009539021306316,203885,"LB, RB",DEF
971,-2.650576879549421,-2.0733715979180514,-1.5302237466878785,210897,CB,DEF
972,-1.5270441319269459,0.9419990488910421,0.3505493017509619,111503,CAM,MID
973,-2.3402255393383484,1.2048386397197473,-0.3639505354944033,200957,"RM, CAM, LM",MID
974,-2.7324154457929573,0.6369741848325376,1.9722342614460324,199042,"CM, CDM, RM",MID
975,-2.057653893374977,1.23430737515758,0.7230603063471971,156634,"RM, CM",MID
976,-2.347630695077394,-0.9220154814346831,1.1302166432009366,179768,CDM,MID
977,-2.4641214016610546,-1.4490341979870798,0.5637054491666622,178417,"CM, LM, CB, CDM",MID
978,-1.9199459790072895,0.9243437234610863,0.8297734307119414,164978,"CAM, LM, RM",MID
979,-1.9210299947328553,2.875145179139621,-2.4741845780427734,164029,ST,ATK
980,-3.9017075306226485,0.6679855492816223,0.9598291239482352,155976,"CM, CAM",MID
981,-2.4830537096665766,2.4026562162200715,-2.645995663679438,195671,ST,ATK
982,-2.232797257303499,-2.468228614256234,-0.3294927059832356,169638,LB,DEF
983,-2.2415845250899293,2.4341172269198794,-1.6682869853278628,179692,ST,ATK
984,-1.9380632287065707,-1.9147526195957725,-0.8459429860034808,204760,LB,DEF
985,-1.9448405061726761,2.59493535465443,-0.3545644879617596,193057,"ST, CAM, CF",ATK
986,-3.4154528064964143,1.8887617255286446,-0.05936711415207319,204233,CAM,MID
987,-2.6154396580288672,-0.5576272658501172,0.7571777047023321,203271,CDM,MID
988,-3.2225986594947353,3.61168850970176,-2.660273191154569,188325,ST,ATK
989,-1.4226974349927817,-0.1084749683432207,1.2560996042504085,195698,"CDM, CM",MID
990,-2.0381416272064774,2.038800394739393,-0.9631799141208277,205876,ST,ATK
991,-3.2116155396011448,-0.9157386535477424,0.9206848685450796,170783,"CDM, CM",MID
992,-2.195260480767072,-3.0107487772055133,-0.928210986771724,183395,LB,DEF
993,-2.475448406909094,0.3678256763635249,-0.022742729325582065,219470,"CDM, CM",MID
994,-2.6339232438655458,-0.45614998301777443,-0.2750304228720296,186801,"CDM, CM, CB",DEF
995,-2.8280678884973245,0.6108524043365032,-1.8003864645792549,182409,"RM, LM",MID
996,-0.7082928818283423,2.1023091988007536,-0.4484541138229344,177106,"LW, CAM",MID
997,-2.429361632149284,-1.9845862714547042,0.5018466234901772,138289,"RB, CDM",MID
998,-2.508533719508184,-0.9739413586851899,1.4049179744491391,184274,"CB, CM, CDM",MID
999,-2.353912846753095,-0.05106026076802556,1.6075783539092774,52306,"LM, LB",DEF
1000,-1.492406341303274,-1.3349743873339215,-0.2733948386379002,173752,RB,DEF
1001,-1.3069293164616171,-0.024732685589174092,1.1287226862086674,183545,"CB, CDM, RB",DEF
1002,-1.3530829262033077,0.6307066841082941,-0.1725382395193379,179660,"RM, RWB",DEF
