,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,player_positions,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_name,height,weight,preferred_foot_left,preferred_foot_right,attacking_work_rate_high,attacking_work_rate_low,attacking_work_rate_medium,defensive_work_rate_high,defensive_work_rate_low,defensive_work_rate_medium,player_positions_general
3692,107070,186879,166630,2015-12-24,69.0,72.0,67.0,50.0,65.0,76.0,48.0,61.0,53.0,71.0,69.0,70.0,77.0,77.0,74.0,75.0,74.0,75.0,81.0,74.0,69.0,73.0,73.0,71.0,68.0,69.0,61.0,59.0,62.0,57.0,15.0,12.0,16.0,14.0,10.0,CAM,68,68,68,69,70,70,70,69,71,71,71,70,72,72,72,70,70,70,70,70,70,69,67,67,67,69,Lukman Haruna,180.34,168,0,1,0,0,1,0,0,1,MID
3693,107091,171774,213714,2015-10-16,71.0,71.0,58.0,49.0,57.0,70.0,31.0,55.0,59.0,48.0,66.0,68.0,64.0,73.0,71.0,67.0,63.0,73.0,79.0,75.0,75.0,53.0,81.0,77.0,57.0,63.0,64.0,60.0,77.0,70.0,10.0,10.0,14.0,11.0,16.0,CDM,61,61,61,61,62,62,62,61,63,63,63,63,66,66,66,63,69,71,71,71,69,69,71,71,71,69,Luso,182.88,165,0,1,0,0,1,0,0,1,
3694,107109,189805,150201,2016-04-07,78.0,80.0,70.0,77.0,92.0,75.0,81.0,71.0,68.0,65.0,58.0,78.0,60.0,66.0,74.0,81.0,57.0,80.0,81.0,76.0,78.0,72.0,50.0,25.0,84.0,73.0,78.0,39.0,40.0,37.0,16.0,10.0,8.0,8.0,11.0,ST,79,79,79,74,76,76,76,74,74,74,74,73,70,70,70,73,59,57,57,57,59,57,54,54,54,57,Luuk de Jong,187.96,190,0,1,0,0,1,0,0,1,ATK
3695,107140,229407,395114,2015-09-21,63.0,71.0,52.0,69.0,62.0,56.0,52.0,66.0,50.0,48.0,40.0,65.0,73.0,74.0,71.0,69.0,77.0,71.0,64.0,45.0,44.0,43.0,28.0,21.0,64.0,50.0,59.0,26.0,28.0,35.0,14.0,8.0,13.0,7.0,8.0,LW,65,65,65,63,64,64,64,63,61,61,61,61,53,53,53,61,47,41,41,41,47,46,39,39,39,46,Luwagga Kizito,175.26,150,0,1,0,0,1,0,0,1,ATK
3696,107142,190311,156937,2016-04-28,64.0,66.0,53.0,66.0,51.0,55.0,56.0,64.0,41.0,42.0,45.0,64.0,82.0,83.0,79.0,58.0,55.0,66.0,32.0,67.0,73.0,55.0,49.0,31.0,67.0,60.0,59.0,33.0,37.0,38.0,12.0,16.0,12.0,10.0,10.0,ST,63,63,63,63,63,63,63,63,61,61,61,61,55,55,55,61,51,47,47,47,51,50,45,45,45,50,Lyle Taylor,187.96,176,0,1,1,0,0,0,0,1,ATK
3697,107208,2147,30841,2016-06-09,76.0,76.0,18.0,11.0,14.0,39.0,11.0,12.0,13.0,13.0,37.0,31.0,35.0,45.0,35.0,73.0,27.0,13.0,55.0,30.0,77.0,11.0,41.0,26.0,13.0,41.0,23.0,18.0,15.0,14.0,79.0,73.0,81.0,74.0,76.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maarten Stekelenburg,198.12,203,0,1,0,0,1,0,0,1,GK
3698,107253,187982,118822,2016-03-24,68.0,68.0,35.0,34.0,65.0,58.0,47.0,60.0,44.0,26.0,51.0,58.0,55.0,52.0,40.0,58.0,34.0,54.0,70.0,71.0,90.0,34.0,75.0,69.0,26.0,46.0,41.0,62.0,67.0,67.0,9.0,7.0,7.0,14.0,15.0,CB,50,50,50,48,48,48,48,48,49,49,49,50,53,53,53,50,59,62,62,62,59,60,67,67,67,60,Maciej Dabrowski,193.04,194,0,1,1,0,0,0,0,1,DEF
3699,107275,210000,361714,2016-04-21,71.0,75.0,67.0,69.0,58.0,71.0,58.0,71.0,67.0,73.0,67.0,73.0,83.0,68.0,71.0,64.0,83.0,75.0,80.0,86.0,65.0,77.0,55.0,60.0,66.0,75.0,60.0,51.0,24.0,27.0,7.0,6.0,13.0,7.0,7.0,CAM,58,58,58,58,60,60,60,58,62,62,62,59,62,62,62,59,59,60,60,60,59,58,57,57,57,58,Maciej Gajos,175.26,143,0,1,0,0,1,0,0,1,MID
3700,107293,176384,69594,2015-11-06,66.0,67.0,20.0,15.0,17.0,30.0,20.0,17.0,19.0,20.0,35.0,13.0,38.0,34.0,53.0,62.0,40.0,21.0,60.0,24.0,61.0,14.0,32.0,18.0,15.0,33.0,17.0,12.0,19.0,18.0,67.0,63.0,55.0,69.0,72.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maciej Gostomski,195.58,198,0,1,0,0,1,0,0,1,GK
3701,107314,105898,69346,2016-03-24,62.0,62.0,68.0,59.0,47.0,68.0,51.0,62.0,70.0,68.0,66.0,64.0,55.0,52.0,73.0,55.0,80.0,61.0,78.0,59.0,37.0,65.0,43.0,47.0,67.0,60.0,71.0,51.0,56.0,55.0,8.0,11.0,9.0,16.0,13.0,CM,58,58,58,62,60,60,60,62,62,62,62,62,60,60,60,62,52,52,52,52,52,48,43,43,43,48,Maciej Iwanski,170.18,154,0,1,0,0,1,0,1,0,MID
3702,107329,200086,206844,2016-04-21,62.0,63.0,50.0,61.0,67.0,63.0,64.0,58.0,49.0,57.0,61.0,61.0,83.0,80.0,68.0,69.0,74.0,61.0,87.0,75.0,71.0,55.0,50.0,42.0,62.0,51.0,54.0,33.0,44.0,33.0,12.0,16.0,11.0,7.0,9.0,ST,66,66,66,63,63,63,63,63,62,62,62,63,59,59,59,63,55,54,54,54,55,55,52,52,52,55,Maciej Jankowski,180.34,152,0,1,1,0,0,0,0,1,ATK
3703,107346,157698,13383,2016-03-03,62.0,62.0,61.0,57.0,65.0,62.0,62.0,59.0,58.0,50.0,42.0,58.0,77.0,72.0,66.0,58.0,68.0,65.0,70.0,82.0,83.0,64.0,84.0,45.0,57.0,56.0,56.0,44.0,35.0,47.0,15.0,6.0,12.0,9.0,16.0,LM,65,65,65,64,64,64,64,64,63,63,63,63,57,57,57,63,56,56,56,56,56,56,56,56,56,56,Maciej Korzym,180.34,170,1,0,1,0,0,1,0,0,MID
