,player_positions,player_fifa_api_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,player_positions_general
6208,CB,202750,0.3987777870066217,0.6699901182818555,-0.2443568881643863,-0.10898709533351948,-0.6133926997073896,0.20493309422575418,0.499056625111062,-0.04182585653938566,0.08402203425095951,-0.24963152816595788,-0.1817736146114928,0.1962194906526493,0.014849460441252104,-0.08231779782175327,DEF
6209,RW,210544,-0.609318887774788,-1.0075182533709257,-0.1568185735647818,0.10592094923709354,-0.4176612801642138,-0.2882456963382858,0.5157603488297512,0.23098044986480956,-0.0636119363607153,0.12450737577885201,0.1806599830540219,0.1169070964504262,0.08920900695966641,-0.027658561743518478,ATK
6210,"CB, CDM",205085,0.3150641007187619,0.4835952785237543,-0.22171095082156028,-0.2705534672951247,-0.4873385394148612,0.09357038055190589,0.48693852455171405,-0.018739455662502423,0.010469860066374752,-0.1269435947117594,0.03746816605652026,0.0036461830791979,-0.09565332832581756,-0.07039619999368923,
6211,CB,176285,0.015811316559468973,1.2065183801174724,-0.7761775834326763,0.49335965388613545,0.3262991351270645,-0.14470819208696128,0.4158980344135873,-0.3455890574265921,0.08806084550543355,-0.31067378191453426,-0.29739739289916456,0.12142255156523707,-0.008050882098633283,-0.036471063001122614,DEF
6212,"ST, CF",199451,-1.3311672636448308,-0.704007717153957,-0.6987476722682818,0.39187893860436346,0.6827659346543374,-0.6775439767929495,0.39975525047445687,-0.22171946126496062,-0.18292216307546116,0.06541635222361525,-0.15574081322086109,-0.07488800310802693,0.21815963064059907,-0.18727873339635426,ATK
6213,RW,226720,0.15400377691943667,-0.10887611615932022,1.1668129369260765,-0.4804714842174853,0.35976433284336456,-0.19408189044610136,0.4885034425158824,0.12390314865178563,-0.4190763815841663,0.0875681544046218,-0.02409896617593125,0.24358853246080486,0.12718167005043374,-0.002282964503606802,ATK
6214,CB,205202,0.46709374923836244,0.5168579969167559,-0.22767111424799436,-0.16747851006515038,-0.5157908234345395,0.08451611878428865,0.5009466409787549,0.07056449543003344,0.027320939951118173,-0.13185761822206601,-0.05857352915845337,-0.22610492154532716,0.11072617294636364,-0.09674522552583041,DEF
6215,GK,188920,2.444955911372133,-0.4768041634574185,-0.12476659071361791,0.3453779551322723,0.12449746294156094,0.001944610528020155,0.3879491311255082,-0.417342148799817,0.0979851192649578,-0.047275804007835695,0.3571583518890916,0.10717687589306779,-0.14384302791572487,0.16581334921693336,GK
6216,ST,165671,-0.2906600844527642,-0.8507477842970803,-0.5766845673133665,0.5708409657423875,0.6218242474445645,0.9630707660802628,0.5465440180525546,-0.17689376034666632,0.1313231587499063,-0.34984828731967954,0.26884744399597466,-0.17865851550279924,0.13635808788354042,0.3636780768598001,ATK
6217,GK,186153,2.456440735545506,-0.6601125267668532,-0.08658969175362351,0.30542307119545287,0.19548670432723733,-0.3865297576525843,0.38490504208931536,-0.2513832749212993,0.4661022830197322,0.1391133868344119,0.03380807033136554,0.30052810918859774,-0.02312005091204732,0.17750819408541466,GK
6218,GK,183070,2.370731563635638,-0.3851057876855802,1.2115670580406526,0.6074128259629072,0.5353515794936314,-0.21478234989525508,0.40125037868620517,-0.30141628219508926,0.2103059164464955,0.019047041313263926,-0.06751651090052958,-0.05546608330792492,-0.0012880979308486156,-0.007294277169329979,GK
6219,RB,215592,-0.22079442137205818,-0.2873055321512088,-0.21463436670644223,0.7474328620071139,-0.8891732913962841,0.00886698409358921,0.585867241564387,0.40316931499263214,0.09607268911169299,-0.22489142613525587,-0.1785275875988581,0.02208781655665508,0.13590710414270246,-0.023828225158072806,DEF
6220,GK,151885,2.551898891065776,-0.5927897966515865,-0.0972275176424861,0.3661879094016586,0.17011405233143895,-0.15698618375368184,0.40569201672360766,-0.22299270970733,0.15766962011229288,0.022744484719664525,0.18472851559818032,-0.008312488890176073,-0.041594277270573944,0.05626492634436753,GK
6221,"CAM, ST",208781,-0.3691507889965071,-1.054736306170428,-0.17632328898042238,0.19085553897372048,-0.36199864809756005,-0.0654714965375265,0.49032880135092904,-0.02224092993108532,-0.23193987766013022,-0.03240028977371201,0.1947803824719392,0.14101086732798895,0.042420875325699714,-0.119515412441225,ATK
6222,ST,223689,-0.30491547201568014,-0.5042123639159223,-0.7770344928656429,1.0054900092750523,0.6304945976506953,0.06876322504760424,0.35475462024473026,-0.8430935358170621,-0.5501188693497692,-0.40622208288211714,0.10307896578905103,-0.10404051569506413,0.24800323659915044,0.16032250641680246,ATK
6223,CM,212886,0.10035690598930741,0.1615645603402055,-0.1770758138114537,-0.5629582608115622,-0.30735987313151014,-0.21000941531396805,0.4821512622272256,0.10765967579225355,0.09297872804703243,0.09862071184346115,0.080207846929884,0.22432881223942078,-0.06353066701946487,-0.07915812803764445,MID
6224,"CDM, CM",45197,-0.8644999043938087,0.22705337481782126,-0.31533804808541666,-0.13038134408763483,-0.6773609218552878,0.30961755512215955,0.39334618944256167,-0.7812514805511352,0.40712910465570196,1.2817771609726731,0.3582535191749182,0.07392152409075818,0.19592106254499417,0.06329113306263258,MID
6225,GK,203688,2.217303481603368,-0.6688596922231286,-0.07458357777308772,0.2077183036354275,0.16609383469278322,-0.5675881204212221,0.4301140018822507,0.09359887785881106,0.4085350927937632,0.16036829302621852,-0.2552599859962884,-0.2218115305829538,-0.13744565236720885,0.0036769154630346365,GK
6226,CB,190507,0.10342304463339931,0.4517459923397738,-0.32346945032185953,0.6026142832391189,-0.8953452590589046,0.5950146507184101,0.5422952372975834,-0.11744828604510638,-0.057840313219331245,0.776345028923446,-0.4985501721559486,-0.046484484585978154,0.013318436713163703,-0.017053940043753973,DEF
6227,"RW, CAM, RM",146482,-0.33090617419278456,-0.2054265994046417,-0.20899831430013718,-1.0349289232086814,-0.004084273714131683,-0.1925147971122138,0.3555399078874389,-0.5878223691139286,0.08507467813616895,0.18538167933810246,0.1763093519530496,0.14759419557954886,0.18216865490005238,-0.12845008023185764,MID
6228,CB,190756,0.4184487681832342,0.7489721857880751,-0.26708333497261066,-0.07245770056671874,-0.6274327159867875,0.27367413849749267,0.44846175853037573,-0.3743489132356722,0.2665830280981899,-0.23354551696025183,-0.0030999958314009567,0.14012513572978946,0.06013786413241081,-0.03506997566592989,DEF
6229,LW,200422,-0.8228231521211133,-0.9025517477025956,0.8234332961129688,0.5106909596663396,1.0941909628000241,0.5381698130714542,0.5947478942507062,0.252424653641926,0.1356355352319013,-0.11808679836503017,0.06699092873921043,0.06607624662954109,-0.13322008468175559,0.12490734744417298,ATK
6230,RB,188954,-0.4973305023151733,-0.4295718200042697,-0.22513221168679243,0.47300767395554455,-0.7499330547929757,0.09466896786924758,0.5254631634104849,0.0522214816164116,-0.04784922701343026,-0.14923886365692776,0.24078057461957927,-0.33820983337432076,-0.023502145107463505,0.036497641440500536,DEF
6231,CDM,179528,-0.14770572070456572,0.48909799686178573,-0.2482297157734843,-0.5397467716212454,-0.45443286129523974,-0.012879649493383985,0.420044136990136,-0.3725811614479284,0.2872281071476004,0.028759325383949187,0.2303013569293625,-0.011657468647249345,0.05258096458719295,0.10144913706808599,
6232,"RM, CAM, LM",193348,-1.3108843694183732,-0.604526313117533,1.1154514956699264,0.1779866249489147,-0.14747293958761692,-0.4065084343082088,0.45880676174379187,-0.16025962531005183,0.30662464623491215,0.16887172674903755,-0.03839974139979989,0.020101258302490217,-0.07018437226104882,0.08949340615240634,MID
