,Title,Embeddings,Algorithm,Num Clusters,Linkage,Affinity,Silhouette Score
4,PCA-with-label_AggClustering_nc:10_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,10,ward,euclidean,0.3320693140241247
9,PCA-with-label_AggClustering_nc:20_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,20,ward,euclidean,0.33020185647520356
69,PCA-with-label_AggClustering_nc:20_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,20,average,euclidean,0.32994667238366765
89,PCA-with-label_AggClustering_nc:20_link:average_aff:l2,PCA-with-label,Agg_Clustering,20,average,l2,0.32994667238366765
5,PCA-with-label_AggClustering_nc:12_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,12,ward,euclidean,0.32796073901212985
8,PCA-with-label_AggClustering_nc:18_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,18,ward,euclidean,0.32770132748619124
68,PCA-with-label_AggClustering_nc:18_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,18,average,euclidean,0.32692020275387756
88,PCA-with-label_AggClustering_nc:18_link:average_aff:l2,PCA-with-label,Agg_Clustering,18,average,l2,0.32692020275387756
108,PCA-with-label_AggClustering_nc:18_link:average_aff:cosine,PCA-with-label,Agg_Clustering,18,average,cosine,0.3253299654930766
109,PCA-with-label_AggClustering_nc:20_link:average_aff:cosine,PCA-with-label,Agg_Clustering,20,average,cosine,0.3206521321941207
79,PCA-with-label_AggClustering_nc:20_link:average_aff:l1,PCA-with-label,Agg_Clustering,20,average,l1,0.3160487884025161
99,PCA-with-label_AggClustering_nc:20_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,20,average,manhattan,0.3160487884025161
66,PCA-with-label_AggClustering_nc:14_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,14,average,euclidean,0.3139015754414543
86,PCA-with-label_AggClustering_nc:14_link:average_aff:l2,PCA-with-label,Agg_Clustering,14,average,l2,0.3139015754414543
106,PCA-with-label_AggClustering_nc:14_link:average_aff:cosine,PCA-with-label,Agg_Clustering,14,average,cosine,0.3114618133489414
98,PCA-with-label_AggClustering_nc:18_link:average_aff:manhattan,PCA-with-label,Agg_Clustering,18,average,manhattan,0.3047378174336923
78,PCA-with-label_AggClustering_nc:18_link:average_aff:l1,PCA-with-label,Agg_Clustering,18,average,l1,0.3047378174336923
2,PCA-with-label_AggClustering_nc:6_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,6,ward,euclidean,0.29781197274798343
103,PCA-with-label_AggClustering_nc:8_link:average_aff:cosine,PCA-with-label,Agg_Clustering,8,average,cosine,0.29413956359120674
105,PCA-with-label_AggClustering_nc:12_link:average_aff:cosine,PCA-with-label,Agg_Clustering,12,average,cosine,0.2901030462878067
3,PCA-with-label_AggClustering_nc:8_link:ward_aff:euclidean,PCA-with-label,Agg_Clustering,8,ward,euclidean,0.28728977944521705
84,PCA-with-label_AggClustering_nc:10_link:average_aff:l2,PCA-with-label,Agg_Clustering,10,average,l2,0.2826785430925456
64,PCA-with-label_AggClustering_nc:10_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,10,average,euclidean,0.2826785430925456
20,PCA-with-label_AggClustering_nc:2_link:complete_aff:l1,PCA-with-label,Agg_Clustering,2,complete,l1,0.28007657119744894
40,PCA-with-label_AggClustering_nc:2_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,2,complete,manhattan,0.28007657119744894
158,PCA-with-label_AggClustering_nc:18_link:single_aff:cosine,PCA-with-label,Agg_Clustering,18,single,cosine,0.27772216359873564
104,PCA-with-label_AggClustering_nc:10_link:average_aff:cosine,PCA-with-label,Agg_Clustering,10,average,cosine,0.27254602021098046
102,PCA-with-label_AggClustering_nc:6_link:average_aff:cosine,PCA-with-label,Agg_Clustering,6,average,cosine,0.2720340980701689
85,PCA-with-label_AggClustering_nc:12_link:average_aff:l2,PCA-with-label,Agg_Clustering,12,average,l2,0.27075502679676827
65,PCA-with-label_AggClustering_nc:12_link:average_aff:euclidean,PCA-with-label,Agg_Clustering,12,average,euclidean,0.27075502679676827
29,PCA-with-label_AggClustering_nc:20_link:complete_aff:l1,PCA-with-label,Agg_Clustering,20,complete,l1,0.2659647566657012
49,PCA-with-label_AggClustering_nc:20_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,20,complete,manhattan,0.2659647566657012
117,PCA-with-label_AggClustering_nc:16_link:single_aff:euclidean,PCA-with-label,Agg_Clustering,16,single,euclidean,0.2629572206054825
137,PCA-with-label_AggClustering_nc:16_link:single_aff:l2,PCA-with-label,Agg_Clustering,16,single,l2,0.2629572206054825
27,PCA-with-label_AggClustering_nc:16_link:complete_aff:l1,PCA-with-label,Agg_Clustering,16,complete,l1,0.2580220066787686
47,PCA-with-label_AggClustering_nc:16_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,16,complete,manhattan,0.2580220066787686
101,PCA-with-label_AggClustering_nc:4_link:average_aff:cosine,PCA-with-label,Agg_Clustering,4,average,cosine,0.2567559627986764
126,PCA-with-label_AggClustering_nc:14_link:single_aff:l1,PCA-with-label,Agg_Clustering,14,single,l1,0.2558614496243979
146,PCA-with-label_AggClustering_nc:14_link:single_aff:manhattan,PCA-with-label,Agg_Clustering,14,single,manhattan,0.2558614496243979
24,PCA-with-label_AggClustering_nc:10_link:complete_aff:l1,PCA-with-label,Agg_Clustering,10,complete,l1,0.25329207836162443
44,PCA-with-label_AggClustering_nc:10_link:complete_aff:manhattan,PCA-with-label,Agg_Clustering,10,complete,manhattan,0.25329207836162443
